Open,High,Low,Volume,Month,Quarter,DayOfWeek,Close_lag1,Close_lag2,Close_lag3,Close_lag7,Close_lag14,MA7,MA14,STD7,Return
391.6,395.8,391.5,1736,7,3,3,393.3,391.3,399.8,394.1,384.1,396.7428571428572,392.9642857142857,3.939905727660982,0.0043224002034070175
395.1,399.8,391.3,1516,7,3,4,395.0,393.3,391.3,395.6,382.8,397.0571428571429,394.03571428571433,3.921248586380251,0.007088607594936791
397.8,398.8,388.5,1008,7,3,1,397.8,395.0,393.3,401.1,388.6,395.7714285714286,394.2857142857143,3.8495516127266636,-0.014328808446455454
394.1,403.1,394.1,792,7,3,2,392.1,397.8,395.0,401.1,383.8,395.87142857142857,395.57142857142856,4.016513531955261,0.02473858709512866
401.8,408.6,399.3,914,7,3,3,401.8,392.1,397.8,399.8,387.6,396.9428571428572,396.9785714285714,5.830053499713552,0.013688402190144444
407.3,407.8,405.0,793,7,3,4,407.3,401.8,392.1,391.3,394.3,399.2,397.8928571428572,6.319282659711549,-0.0004910385465258793
407.3,408.3,405.0,866,7,3,0,407.1,407.3,401.8,393.3,393.1,401.09999999999997,398.85714285714283,6.248733204951529,-0.001228199459592183
407.1,407.3,399.6,1589,7,3,1,406.6,407.1,407.3,395.0,394.1,402.25714285714287,399.5,5.652390981657281,-0.008607968519429465
400.8,405.8,400.8,990,7,3,2,403.1,406.6,407.1,397.8,395.6,403.25714285714287,400.1571428571429,5.343175442517319,0.004217315802530264
404.3,405.1,400.8,1900,7,3,3,404.8,403.1,406.6,392.1,401.1,404.8285714285715,400.3,2.219395026963433,-0.0041996047430830075
403.1,407.1,401.8,882,7,3,4,403.1,404.8,403.1,401.8,401.1,405.4428571428572,400.6571428571429,1.796159925002756,0.007442322004465485
405.5,407.5,403.8,858,7,3,0,406.1,403.1,404.8,407.3,399.8,405.0857142857143,401.0142857142858,1.6035674514731693,-0.0032011819748830606
405.0,406.3,398.6,1707,7,3,1,404.8,406.1,403.1,407.1,391.3,404.1857142857143,401.6928571428572,2.0028551049500627,-0.00988142292490124
399.3,401.6,393.8,1908,7,3,2,400.8,404.8,406.1,406.6,393.3,402.6857142857143,401.89285714285717,3.3632467306793137,-0.011726546906187574
396.0,397.8,392.8,1907,7,3,3,396.1,400.8,404.8,403.1,395.0,401.2857142857143,401.7714285714286,4.866014307222329,-0.0070689219893966815
394.3,395.0,386.5,1899,7,3,4,393.3,396.1,400.8,404.8,397.8,399.07142857142856,401.1642857142857,6.312082140813697,-0.010170353419781342
389.3,392.1,388.1,1992,7,3,0,389.3,393.3,396.1,403.1,392.1,397.1714285714285,401.00000000000006,6.8740367290537625,0.0012843565373747978
390.5,393.1,385.1,3054,7,3,1,389.8,389.3,393.3,406.1,401.8,394.38571428571424,399.9142857142857,6.598340339668444,-0.008209338122113885
386.1,389.6,384.5,3205,7,3,2,386.6,389.8,389.3,404.8,407.3,391.8857142857143,398.4857142857143,5.151513878278615,0.0018106570098292973
387.3,390.8,385.3,2521,7,3,3,387.3,386.6,389.8,400.8,407.1,389.92857142857144,397.0571428571429,3.5556125987491796,-0.0005163955589981839
387.1,391.8,386.3,2803,7,3,4,387.1,387.3,386.6,396.1,406.6,389.12857142857143,395.9071428571429,2.366934927788317,0.008783260139498816
390.3,393.8,390.3,1926,8,3,0,390.5,387.1,387.3,393.3,403.1,388.8142857142857,395.05,1.798544384986204,0.0015364916773368265
391.3,394.3,388.1,3214,8,3,1,391.1,390.5,387.1,389.3,404.8,389.35714285714283,394.2142857142857,2.431636720988631,0.0051137816415238735
393.8,393.8,389.6,3037,8,3,2,393.1,391.1,390.5,389.8,403.1,389.64285714285717,393.4071428571429,2.603751871727958,-0.0033070465530399273
391.3,393.0,389.8,1900,8,3,3,391.8,393.1,391.1,386.6,406.1,390.3857142857143,392.38571428571424,2.3169150260848665,0.0
391.8,400.3,390.8,1878,8,3,4,391.8,391.8,393.1,387.3,404.8,392.02857142857147,391.95714285714286,3.5259581608950694,0.0178662582950484
399.1,400.3,397.1,1449,8,3,0,398.8,391.8,391.8,387.1,400.8,393.84285714285716,391.8857142857143,3.8222406791729338,0.0025075225677031465
399.6,400.6,397.3,1442,8,3,1,399.8,398.8,391.8,390.5,396.1,395.07142857142856,392.1,3.9487189001473504,-0.0017508754377187907
398.1,399.1,392.3,1523,8,3,2,399.1,399.8,398.8,391.1,393.3,395.57142857142856,392.1928571428571,3.564975121799218,-0.011275369581558503
395.1,397.3,392.8,1730,8,3,3,394.6,399.1,399.8,393.1,389.3,395.59999999999997,392.4785714285714,3.5425979167836306,-0.003294475418144982
393.5,399.1,391.8,2692,8,3,4,393.3,394.6,399.1,391.8,389.8,396.50000000000006,393.07142857142856,3.199999999999893,0.012204424103737566
398.3,403.1,397.6,1423,8,3,0,398.1,393.3,394.6,391.8,386.6,397.85714285714283,394.1214285714286,2.8721984279507,0.008038181361466945
402.1,404.8,399.6,1031,8,3,1,401.3,398.1,393.3,398.8,387.3,398.7142857142857,395.37142857142857,3.9087204093019445,0.008721654622476871
403.8,404.8,401.1,641,8,3,2,404.8,401.3,398.1,399.8,387.1,399.2857142857143,396.5642857142857,4.360209693515518,-0.0024703557312253377
403.8,407.5,403.1,1445,8,3,3,403.8,404.8,401.3,399.1,390.5,400.2857142857143,397.67857142857144,5.057479138671068,0.005695889053987102
406.1,413.8,404.6,1898,8,3,4,406.1,403.8,404.8,394.6,391.1,402.8,399.1857142857143,6.03931563451772,0.015020930805220267
411.8,411.8,407.8,1919,8,3,0,412.2,406.1,403.8,393.3,393.1,405.08571428571435,400.34285714285716,4.7305491476245285,-0.007035419699175094
409.6,409.6,401.6,1996,8,3,1,409.3,412.2,406.1,398.1,391.8,405.5857142857143,401.04285714285714,3.9972609669736303,-0.0188126068898119
401.8,407.6,401.6,3058,8,3,2,401.6,409.3,412.2,401.3,391.8,406.3714285714286,402.11428571428576,3.5273759301180805,0.01294820717131473
406.3,408.8,404.1,1680,8,3,3,406.8,401.6,409.3,404.8,398.8,406.5857142857143,402.65000000000003,3.4609384909429695,-0.0012291052114060674
406.5,408.5,400.8,2561,8,3,4,406.3,406.8,401.6,403.8,399.8,406.3714285714286,402.8285714285715,3.700321736332718,-0.009844942160964765
402.3,408.6,402.1,940,8,3,0,402.3,406.3,406.8,406.1,399.1,406.65714285714284,403.4714285714286,3.752713304111104,0.01441710166542376
406.8,410.8,406.3,1100,8,3,1,408.1,402.3,406.3,412.2,394.6,406.2428571428572,404.5214285714286,3.1505857354127023,0.002940455770644501
409.6,409.8,405.8,1866,9,3,2,409.3,408.1,402.3,409.3,393.3,406.0285714285714,405.5571428571429,2.9528033491994043,-0.0036647935499632966
407.8,408.3,404.8,1236,9,3,3,407.8,409.3,408.1,401.6,398.1,406.6,406.09285714285716,2.258317958126232,-0.0053948013732221245
405.1,406.3,398.6,1547,9,3,4,405.6,407.8,409.3,406.8,401.3,405.59999999999997,405.9857142857143,3.410767264609104,-0.01429980276134124
400.6,401.6,396.3,1421,9,3,1,399.8,405.6,407.8,406.3,404.8,404.3857142857143,405.4857142857143,4.468940430507506,-0.005002501250625291
397.8,399.8,394.3,2418,9,3,2,397.8,399.8,405.6,402.3,403.8,403.92857142857144,405.15000000000003,4.864056703929731,0.0032679738562091387
398.3,400.3,396.6,2887,9,3,3,399.1,397.8,399.8,408.1,406.1,402.42857142857144,404.54285714285714,4.98086815917106,-0.0037584565271862047
397.8,402.3,397.5,2744,9,3,4,397.6,399.1,397.8,409.3,412.2,401.42857142857144,403.83571428571435,3.971865340833075,0.011820925553319928
401.1,404.3,398.1,2562,9,3,0,402.3,397.6,399.1,407.8,409.3,400.78571428571433,403.40714285714284,3.0185142986948885,0.002485707183693675
403.3,406.6,401.6,1495,9,3,1,403.3,402.3,397.6,405.6,401.6,400.7857142857143,403.6928571428572,3.0185142986948885,0.005702950657079153
405.3,405.5,402.1,2017,9,3,2,405.6,403.3,402.3,399.8,406.8,401.4714285714286,403.53571428571433,3.290245323028528,-0.002465483234713961
403.3,405.3,401.6,2710,9,3,3,404.6,405.6,403.3,397.8,406.3,402.3285714285715,403.35714285714283,2.9369566366752773,-0.001977261492832505
