Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7
397.8,392.1,401.8,407.3,407.1,406.6,403.1
392.1,401.8,407.3,407.1,406.6,403.1,404.8
401.8,407.3,407.1,406.6,403.1,404.8,403.1
407.3,407.1,406.6,403.1,404.8,403.1,406.1
407.1,406.6,403.1,404.8,403.1,406.1,404.8
406.6,403.1,404.8,403.1,406.1,404.8,400.8
403.1,404.8,403.1,406.1,404.8,400.8,396.1
404.8,403.1,406.1,404.8,400.8,396.1,393.3
403.1,406.1,404.8,400.8,396.1,393.3,389.3
406.1,404.8,400.8,396.1,393.3,389.3,389.8
404.8,400.8,396.1,393.3,389.3,389.8,386.6
400.8,396.1,393.3,389.3,389.8,386.6,387.3
396.1,393.3,389.3,389.8,386.6,387.3,387.1
393.3,389.3,389.8,386.6,387.3,387.1,390.5
389.3,389.8,386.6,387.3,387.1,390.5,391.1
389.8,386.6,387.3,387.1,390.5,391.1,393.1
386.6,387.3,387.1,390.5,391.1,393.1,391.8
387.3,387.1,390.5,391.1,393.1,391.8,391.8
387.1,390.5,391.1,393.1,391.8,391.8,398.8
390.5,391.1,393.1,391.8,391.8,398.8,399.8
391.1,393.1,391.8,391.8,398.8,399.8,399.1
393.1,391.8,391.8,398.8,399.8,399.1,394.6
391.8,391.8,398.8,399.8,399.1,394.6,393.3
391.8,398.8,399.8,399.1,394.6,393.3,398.1
398.8,399.8,399.1,394.6,393.3,398.1,401.3
399.8,399.1,394.6,393.3,398.1,401.3,404.8
399.1,394.6,393.3,398.1,401.3,404.8,403.8
394.6,393.3,398.1,401.3,404.8,403.8,406.1
393.3,398.1,401.3,404.8,403.8,406.1,412.2
398.1,401.3,404.8,403.8,406.1,412.2,409.3
401.3,404.8,403.8,406.1,412.2,409.3,401.6
404.8,403.8,406.1,412.2,409.3,401.6,406.8
403.8,406.1,412.2,409.3,401.6,406.8,406.3
406.1,412.2,409.3,401.6,406.8,406.3,402.3
412.2,409.3,401.6,406.8,406.3,402.3,408.1
409.3,401.6,406.8,406.3,402.3,408.1,409.3
401.6,406.8,406.3,402.3,408.1,409.3,407.8
406.8,406.3,402.3,408.1,409.3,407.8,405.6
406.3,402.3,408.1,409.3,407.8,405.6,399.8
402.3,408.1,409.3,407.8,405.6,399.8,397.8
408.1,409.3,407.8,405.6,399.8,397.8,399.1
409.3,407.8,405.6,399.8,397.8,399.1,397.6
407.8,405.6,399.8,397.8,399.1,397.6,402.3
405.6,399.8,397.8,399.1,397.6,402.3,403.3
399.8,397.8,399.1,397.6,402.3,403.3,405.6
397.8,399.1,397.6,402.3,403.3,405.6,404.6
399.1,397.6,402.3,403.3,405.6,404.6,403.8
397.6,402.3,403.3,405.6,404.6,403.8,405.0
402.3,403.3,405.6,404.6,403.8,405.0,404.3
403.3,405.6,404.6,403.8,405.0,404.3,409.3
405.6,404.6,403.8,405.0,404.3,409.3,406.3
404.6,403.8,405.0,404.3,409.3,406.3,410.1
403.8,405.0,404.3,409.3,406.3,410.1,407.1
405.0,404.3,409.3,406.3,410.1,407.1,408.8
404.3,409.3,406.3,410.1,407.1,408.8,411.6
409.3,406.3,410.1,407.1,408.8,411.6,412.1
406.3,410.1,407.1,408.8,411.6,412.1,417.8
410.1,407.1,408.8,411.6,412.1,417.8,419.0
407.1,408.8,411.6,412.1,417.8,419.0,418.8
408.8,411.6,412.1,417.8,419.0,418.8,418.3
411.6,412.1,417.8,419.0,418.8,418.3,417.3
412.1,417.8,419.0,418.8,418.3,417.3,417.1
417.8,419.0,418.8,418.3,417.3,417.1,422.3
419.0,418.8,418.3,417.3,417.1,422.3,421.6
418.8,418.3,417.3,417.1,422.3,421.6,414.8
418.3,417.3,417.1,422.3,421.6,414.8,415.3
417.3,417.1,422.3,421.6,414.8,415.3,417.3
417.1,422.3,421.6,414.8,415.3,417.3,418.3
422.3,421.6,414.8,415.3,417.3,418.3,415.3
421.6,414.8,415.3,417.3,418.3,415.3,419.3
414.8,415.3,417.3,418.3,415.3,419.3,423.1
415.3,417.3,418.3,415.3,419.3,423.1,423.3
417.3,418.3,415.3,419.3,423.1,423.3,423.7
418.3,415.3,419.3,423.1,423.3,423.7,427.8
415.3,419.3,423.1,423.3,423.7,427.8,426.3
419.3,423.1,423.3,423.7,427.8,426.3,423.8
423.1,423.3,423.7,427.8,426.3,423.8,423.8
423.3,423.7,427.8,426.3,423.8,423.8,428.1
423.7,427.8,426.3,423.8,423.8,428.1,426.8
427.8,426.3,423.8,423.8,428.1,426.8,421.1
426.3,423.8,423.8,428.1,426.8,421.1,426.3
423.8,423.8,428.1,426.8,421.1,426.3,429.1
423.8,428.1,426.8,421.1,426.3,429.1,433.1
428.1,426.8,421.1,426.3,429.1,433.1,431.6
426.8,421.1,426.3,429.1,433.1,431.6,434.8
421.1,426.3,429.1,433.1,431.6,434.8,433.3
426.3,429.1,433.1,431.6,434.8,433.3,434.1
429.1,433.1,431.6,434.8,433.3,434.1,437.3
433.1,431.6,434.8,433.3,434.1,437.3,436.0
431.6,434.8,433.3,434.1,437.3,436.0,439.3
434.8,433.3,434.1,437.3,436.0,439.3,444.1
433.3,434.1,437.3,436.0,439.3,444.1,441.6
434.1,437.3,436.0,439.3,444.1,441.6,446.6
437.3,436.0,439.3,444.1,441.6,446.6,448.3
436.0,439.3,444.1,441.6,446.6,448.3,447.1
439.3,444.1,441.6,446.6,448.3,447.1,448.8
444.1,441.6,446.6,448.3,447.1,448.8,451.3
