Date,Open,High,Low,Close,Volume,Month,Quarter,DayOfWeek,DXY,FED_Rate
2004-06-11,384.0,384.8,382.8,384.1,272,6,2,Friday,90.01000213623047,1.0
2004-06-14,384.3,385.8,381.8,382.8,1902,6,2,Monday,89.94000244140625,1.02
2004-06-15,382.8,388.8,381.1,388.6,1951,6,2,Tuesday,89.08999633789062,1.03
2004-06-16,387.1,389.8,382.6,383.8,2014,6,2,Wednesday,90.04000091552734,1.0
2004-06-17,383.6,389.3,383.0,387.6,1568,6,2,Thursday,89.5999984741211,1.01
2004-06-18,388.6,395.8,385.8,394.3,2257,6,2,Friday,89.08000183105469,1.0
2004-06-21,394.3,396.8,392.1,393.1,1674,6,2,Monday,89.29000091552734,1.0
2004-06-22,392.8,396.3,392.3,394.1,1407,6,2,Tuesday,89.43000030517578,1.0
2004-06-23,394.0,396.6,392.3,395.6,1829,6,2,Wednesday,89.41999816894531,1.02
2004-06-24,394.0,402.8,393.1,401.1,1991,6,2,Thursday,88.75,1.03
2004-06-25,402.0,402.8,400.1,401.1,1608,6,2,Friday,88.87999725341797,1.05
2004-06-28,401.8,404.6,398.8,399.8,2124,6,2,Monday,88.72000122070312,1.09
2004-06-29,399.8,400.5,390.3,391.3,2175,6,2,Tuesday,89.41000366210938,1.13
2004-06-30,391.5,396.3,391.1,393.3,2131,6,2,Wednesday,88.80000305175781,1.38
2004-07-01,391.6,395.8,391.5,395.0,1736,7,3,Thursday,88.79000091552734,1.4
2004-07-02,395.1,399.8,391.3,397.8,1516,7,3,Friday,87.97000122070312,1.25
2004-07-06,397.8,398.8,388.5,392.1,1008,7,3,Tuesday,88.12000274658203,1.3
2004-07-07,394.1,403.1,394.1,401.8,792,7,3,Wednesday,87.6500015258789,1.26
2004-07-08,401.8,408.6,399.3,407.3,914,7,3,Thursday,87.54000091552734,1.26
2004-07-09,407.3,407.8,405.0,407.1,793,7,3,Friday,87.41999816894531,1.24
2004-07-12,407.3,408.3,405.0,406.6,866,7,3,Monday,87.38999938964844,1.26
2004-07-13,407.1,407.3,399.6,403.1,1589,7,3,Tuesday,87.81999969482422,1.24
2004-07-14,400.8,405.8,400.8,404.8,990,7,3,Wednesday,87.58000183105469,1.24
2004-07-15,404.3,405.1,400.8,403.1,1900,7,3,Thursday,87.98999786376953,1.3
2004-07-16,403.1,407.1,401.8,406.1,882,7,3,Friday,87.13999938964844,1.24
2004-07-19,405.5,407.5,403.8,404.8,858,7,3,Monday,87.18000030517578,1.25
2004-07-20,405.0,406.3,398.6,400.8,1707,7,3,Tuesday,87.83000183105469,1.25
2004-07-21,399.3,401.6,393.8,396.1,1908,7,3,Wednesday,88.55999755859375,1.25
2004-07-22,396.0,397.8,392.8,393.3,1907,7,3,Thursday,88.44999694824219,1.26
2004-07-23,394.3,395.0,386.5,389.3,1899,7,3,Friday,89.26000213623047,1.25
2004-07-26,389.3,392.1,388.1,389.8,1992,7,3,Monday,89.02999877929688,1.27
2004-07-27,390.5,393.1,385.1,386.6,3054,7,3,Tuesday,89.79000091552734,1.27
2004-07-28,386.1,389.6,384.5,387.3,3205,7,3,Wednesday,89.75,1.29
2004-07-29,387.3,390.8,385.3,387.1,2521,7,3,Thursday,89.94999694824219,1.3
2004-07-30,387.1,391.8,386.3,390.5,2803,7,3,Friday,89.95999908447266,1.29
2004-08-02,390.3,393.8,390.3,391.1,1926,8,3,Monday,89.75,1.28
2004-08-03,391.3,394.3,388.1,393.1,3214,8,3,Tuesday,89.56999969482422,1.24
2004-08-04,393.8,393.8,389.6,391.8,3037,8,3,Wednesday,89.68000030517578,1.22
2004-08-05,391.3,393.0,389.8,391.8,1900,8,3,Thursday,89.63999938964844,1.3
2004-08-06,391.8,400.3,390.8,398.8,1878,8,3,Friday,88.36000061035156,1.32
2004-08-09,399.1,400.3,397.1,399.8,1449,8,3,Monday,88.38999938964844,1.35
2004-08-10,399.6,400.6,397.3,399.1,1442,8,3,Tuesday,88.79000091552734,1.43
2004-08-11,398.1,399.1,392.3,394.6,1523,8,3,Wednesday,88.8499984741211,1.5
2004-08-12,395.1,397.3,392.8,393.3,1730,8,3,Thursday,88.69000244140625,1.51
2004-08-13,393.5,399.1,391.8,398.1,2692,8,3,Friday,87.9000015258789,1.48
2004-08-16,398.3,403.1,397.6,401.3,1423,8,3,Monday,87.95999908447266,1.43
2004-08-17,402.1,404.8,399.6,404.8,1031,8,3,Tuesday,88.05999755859375,1.2
2004-08-18,403.8,404.8,401.1,403.8,641,8,3,Wednesday,88.08000183105469,1.39
2004-08-19,403.8,407.5,403.1,406.1,1445,8,3,Thursday,87.79000091552734,1.5
2004-08-20,406.1,413.8,404.6,412.2,1898,8,3,Friday,88.12000274658203,1.5
2004-08-23,411.8,411.8,407.8,409.3,1919,8,3,Monday,89.05999755859375,1.51
2004-08-24,409.6,409.6,401.6,401.6,1996,8,3,Tuesday,89.45999908447266,1.51
2004-08-25,401.8,407.6,401.6,406.8,3058,8,3,Wednesday,89.41999816894531,1.55
2004-08-26,406.3,408.8,404.1,406.3,1680,8,3,Thursday,89.30000305175781,1.55
2004-08-27,406.5,408.5,400.8,402.3,2561,8,3,Friday,89.7699966430664,1.52
2004-08-30,402.3,408.6,402.1,408.1,940,8,3,Monday,89.69000244140625,1.54
2004-08-31,406.8,410.8,406.3,409.3,1100,8,3,Tuesday,88.94000244140625,1.55
2004-09-01,409.6,409.8,405.8,407.8,1866,9,3,Wednesday,88.87000274658203,1.53
2004-09-02,407.8,408.3,404.8,405.6,1236,9,3,Thursday,88.9800033569336,1.51
2004-09-03,405.1,406.3,398.6,399.8,1547,9,3,Friday,89.62999725341797,1.48
2004-09-07,400.6,401.6,396.3,397.8,1421,9,3,Tuesday,89.2300033569336,1.54
2004-09-08,397.8,399.8,394.3,399.1,2418,9,3,Wednesday,88.7699966430664,1.51
2004-09-09,398.3,400.3,396.6,397.6,2887,9,3,Thursday,88.83000183105469,1.49
2004-09-10,397.8,402.3,397.5,402.3,2744,9,3,Friday,88.38999938964844,1.48
2004-09-13,401.1,404.3,398.1,403.3,2562,9,3,Monday,88.55000305175781,1.51
2004-09-14,403.3,406.6,401.6,405.6,1495,9,3,Tuesday,88.45999908447266,1.4
2004-09-15,405.3,405.5,402.1,404.6,2017,9,3,Wednesday,89.1500015258789,1.57
2004-09-16,403.3,405.3,401.6,403.8,2710,9,3,Thursday,88.79000091552734,1.61
2004-09-17,403.8,406.6,402.5,405.0,2792,9,3,Friday,88.91000366210938,1.58
2004-09-20,404.8,405.3,402.8,404.3,1873,9,3,Monday,88.98999786376953,1.64
2004-09-21,404.5,409.7,403.5,409.3,1498,9,3,Tuesday,88.12999725341797,1.7
2004-09-22,408.3,409.3,403.5,406.3,2461,9,3,Wednesday,88.51000213623047,1.78
2004-09-23,406.3,411.6,405.6,410.1,2355,9,3,Thursday,88.44000244140625,1.8
2004-09-24,410.1,411.0,405.8,407.1,1891,9,3,Friday,88.4000015258789,1.76
2004-09-27,407.3,409.6,406.6,408.8,988,9,3,Monday,88.29000091552734,1.76
2004-09-28,408.3,412.6,408.0,411.6,2444,9,3,Tuesday,88.11000061035156,1.72
2004-09-29,411.7,413.7,410.2,412.1,3798,9,3,Wednesday,88.0999984741211,1.76
2004-09-30,412.2,418.6,410.5,417.8,4044,9,3,Thursday,87.36000061035156,1.94
2004-10-01,417.8,419.3,416.3,419.0,1356,10,4,Friday,87.62999725341797,1.86
2004-10-04,418.3,418.8,411.3,418.8,936,10,4,Monday,88.37999725341797,1.77
2004-10-05,413.6,419.3,412.3,418.3,869,10,4,Tuesday,88.16999816894531,1.73
2004-10-06,418.6,419.8,415.6,417.3,1059,10,4,Wednesday,88.4800033569336,1.74
2004-10-07,418.1,419.7,416.7,417.1,3365,10,4,Thursday,88.33999633789062,1.76
2004-10-08,417.3,423.3,416.8,422.3,713,10,4,Friday,87.44999694824219,1.71
2004-10-11,422.5,422.6,420.6,421.6,748,10,4,Monday,87.54000091552734,1.71
2004-10-12,421.3,422.1,412.6,414.8,909,10,4,Tuesday,88.0199966430664,1.78
2004-10-13,414.8,416.1,409.1,415.3,1355,10,4,Wednesday,87.87999725341797,1.73
2004-10-14,415.1,418.5,413.8,417.3,1467,10,4,Thursday,87.55000305175781,1.77
2004-10-15,417.3,420.8,417.2,418.3,1030,10,4,Friday,87.08999633789062,1.79
2004-10-18,418.1,419.8,415.3,415.3,1128,10,4,Monday,87.0199966430664,1.73
2004-10-19,415.3,420.2,414.3,419.3,1286,10,4,Tuesday,86.83999633789062,1.72
2004-10-20,419.3,425.5,419.3,423.1,1002,10,4,Wednesday,86.3499984741211,1.74
2004-10-21,423.1,425.8,421.5,423.3,1274,10,4,Thursday,86.0199966430664,1.76
2004-10-22,423.8,424.7,421.5,423.7,1034,10,4,Friday,85.87000274658203,1.72
2004-10-25,426.0,430.2,426.0,427.8,1206,10,4,Monday,84.97000122070312,1.76
2004-10-26,428.3,428.6,424.3,426.3,1015,10,4,Tuesday,85.20999908447266,1.72
2004-10-27,426.1,428.3,422.8,423.8,1267,10,4,Wednesday,85.44000244140625,1.77
2004-10-28,423.3,426.8,420.3,423.8,1450,10,4,Thursday,85.27999877929688,1.79
2004-10-29,424.3,428.3,423.3,428.1,1388,10,4,Friday,84.91000366210938,1.79
2004-11-01,429.6,430.1,425.7,426.8,1246,11,4,Monday,85.19999694824219,1.83
2004-11-02,426.6,427.0,416.8,421.1,1255,11,4,Tuesday,85.47000122070312,1.74
2004-11-03,420.7,426.8,418.8,426.3,1257,11,4,Wednesday,84.69999694824219,1.73
2004-11-04,426.6,432.6,425.3,429.1,1230,11,4,Thursday,84.54000091552734,1.77
2004-11-05,429.1,433.6,424.5,433.1,1493,11,4,Friday,84.01000213623047,1.76
2004-11-08,433.6,434.8,430.7,431.6,1067,11,4,Monday,84.08999633789062,1.8
2004-11-09,432.1,436.2,430.8,434.8,1311,11,4,Tuesday,84.29000091552734,1.79
