lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,rolling_mean_7,rolling_mean_30,rolling_std_7,rolling_max_7,rolling_min_7,day_of_week,month,price_range_7,trend_7,return,Close
393.3,396.1,400.8,404.8,406.1,403.1,404.8,403.1,406.6,407.1,407.3,401.8,392.1,397.8,399.07142857142856,396.6566666666667,6.312082140813697,406.1,389.3,4,7,16.80000000000001,-15.5,-0.010170353419781342,389.3
389.3,393.3,396.1,400.8,404.8,406.1,403.1,404.8,403.1,406.6,407.1,407.3,401.8,392.1,397.1714285714285,396.84666666666664,6.8740367290537625,406.1,389.3,0,7,16.80000000000001,-13.300000000000011,0.0012843565373747978,389.8
389.8,389.3,393.3,396.1,400.8,404.8,406.1,403.1,404.8,403.1,406.6,407.1,407.3,401.8,394.38571428571424,396.97333333333336,6.598340339668444,404.8,386.6,1,7,18.19999999999999,-19.5,-0.008209338122113885,386.6
386.6,389.8,389.3,393.3,396.1,400.8,404.8,406.1,403.1,404.8,403.1,406.6,407.1,407.3,391.8857142857143,396.93000000000006,5.151513878278615,400.8,386.6,2,7,14.199999999999989,-17.5,0.0018106570098292973,387.3
387.3,386.6,389.8,389.3,393.3,396.1,400.8,404.8,406.1,403.1,404.8,403.1,406.6,407.1,389.92857142857144,397.04,3.5556125987491796,396.1,386.6,3,7,9.5,-13.699999999999989,-0.0005163955589981839,387.1
387.1,387.3,386.6,389.8,389.3,393.3,396.1,400.8,404.8,406.1,403.1,404.8,403.1,406.6,389.12857142857143,397.13666666666666,2.366934927788317,393.3,386.6,4,7,6.699999999999989,-5.600000000000023,0.008783260139498816,390.5
390.5,387.1,387.3,386.6,389.8,389.3,393.3,396.1,400.8,404.8,406.1,403.1,404.8,403.1,388.8142857142857,397.03,1.798544384986204,391.1,386.6,0,8,4.5,-2.1999999999999886,0.0015364916773368265,391.1
391.1,390.5,387.1,387.3,386.6,389.8,389.3,393.3,396.1,400.8,404.8,406.1,403.1,404.8,389.35714285714283,397.03000000000003,2.431636720988631,393.1,386.6,1,8,6.5,3.8000000000000114,0.0051137816415238735,393.1
393.1,391.1,390.5,387.1,387.3,386.6,389.8,389.3,393.3,396.1,400.8,404.8,406.1,403.1,389.64285714285717,396.9533333333333,2.603751871727958,393.1,386.6,2,8,6.5,2.0,-0.0033070465530399273,391.8
391.8,393.1,391.1,390.5,387.1,387.3,386.6,389.8,389.3,393.3,396.1,400.8,404.8,406.1,390.3857142857143,396.8266666666667,2.3169150260848665,393.1,387.1,3,8,6.0,5.199999999999989,0.0,391.8
391.8,391.8,393.1,391.1,390.5,387.1,387.3,386.6,389.8,389.3,393.3,396.1,400.8,404.8,392.02857142857147,396.75,3.5259581608950694,398.8,387.1,4,8,11.699999999999989,11.5,0.0178662582950484,398.8
398.8,391.8,391.8,393.1,391.1,390.5,387.1,387.3,386.6,389.8,389.3,393.3,396.1,400.8,393.84285714285716,396.7066666666667,3.8222406791729338,399.8,390.5,0,8,9.300000000000011,12.699999999999989,0.0025075225677031465,399.8
399.8,398.8,391.8,391.8,393.1,391.1,390.5,387.1,387.3,386.6,389.8,389.3,393.3,396.1,395.07142857142856,396.68333333333334,3.9487189001473504,399.8,391.1,1,8,8.699999999999989,8.600000000000023,-0.0017508754377187907,399.1
399.1,399.8,398.8,391.8,391.8,393.1,391.1,390.5,387.1,387.3,386.6,389.8,389.3,393.3,395.57142857142856,396.7933333333333,3.564975121799218,399.8,391.8,2,8,8.0,3.5,-0.011275369581558503,394.6
394.6,399.1,399.8,398.8,391.8,391.8,393.1,391.1,390.5,387.1,387.3,386.6,389.8,389.3,395.59999999999997,396.79333333333335,3.5425979167836306,399.8,391.8,3,8,8.0,0.19999999999998863,-0.003294475418144982,393.3
